"name","year","val"
"Michigan","2016",39
"Minnesota","2016",49
"Mississippi","2016",6
"Missouri","2016",34
"Montana","2016",13
"Nebraska","2016",10
"Nevada","2016",47
"New Hampshire","2016",11
"New Jersey","2016",93
"New Mexico","2016",37
"New York","2016",190
"North Carolina","2016",34
"North Dakota","2016",0
"Ohio","2016",36
"Oklahoma","2016",10
"Oregon","2016",60
"Pennsylvania","2016",78
"Rhode Island","2016",7
"South Carolina","2016",5
"South Dakota","2016",4
"Tennessee","2016",17
"Texas","2016",128
"Utah","2016",21
"Vermont","2016",6
"Virginia","2016",78
"Washington","2016",144
"West Virginia","2016",3
"Wisconsin","2016",28
"Wyoming","2016",3
"Alabama","2015",7
"Alaska","2015",5
"Arizona","2015",72
"Arkansas","2015",5
"California","2015",20935
"Colorado","2015",104
"Connecticut","2015",46
"Delaware","2015",6
"District of Columbia","2015",19
"Florida","2015",64
"Georgia","2015",29
"Hawaii","2015",29
"Idaho","2015",16
"Illinois","2015",106
"Indiana","2015",17
"Iowa","2015",9
"Kansas","2015",13
"Kentucky","2015",15
"Louisiana","2015",7
"Maine","2015",8
"Maryland","2015",65
"Massachusetts","2015",90
"Michigan","2015",40
"Minnesota","2015",45
"Mississippi","2015",5
"Missouri","2015",31
"Montana","2015",13
"Nebraska","2015",9
"Nevada","2015",46
"New Hampshire","2015",13
"New Jersey","2015",84
"New Mexico","2015",32
"New York","2015",182
"North Carolina","2015",41
"North Dakota","2015",2
"Ohio","2015",33
"Oklahoma","2015",14
"Oregon","2015",64
"Pennsylvania","2015",67
"Rhode Island","2015",9
"South Carolina","2015",6
"South Dakota","2015",3
"Tennessee","2015",18
"Texas","2015",123
"Utah","2015",19
"Vermont","2015",7
"Virginia","2015",71
"Washington","2015",142
"West Virginia","2015",2
"Wisconsin","2015",29
"Wyoming","2015",2
"Alabama","2014",8
"Alaska","2014",5
"Arizona","2014",64
"Arkansas","2014",4
"California","2014",20697
"Colorado","2014",109
"Connecticut","2014",41
"Delaware","2014",7
"District of Columbia","2014",20
"Florida","2014",65
"Georgia","2014",26
"Hawaii","2014",24
"Idaho","2014",17
"Illinois","2014",106
"Indiana","2014",20
"Iowa","2014",12
"Kansas","2014",18
"Kentucky","2014",15
"Louisiana","2014",5
"Maine","2014",8
"Maryland","2014",60
"Massachusetts","2014",86
"Michigan","2014",37
"Minnesota","2014",52
"Mississippi","2014",3
"Missouri","2014",28
"Montana","2014",11
"Nebraska","2014",9
"Nevada","2014",40
"New Hampshire","2014",16
"New Jersey","2014",82
"New Mexico","2014",34
"New York","2014",156
"North Carolina","2014",34
"North Dakota","2014",2
"Ohio","2014",34
"Oklahoma","2014",12
"Oregon","2014",58
"Pennsylvania","2014",73
"Rhode Island","2014",8
"South Carolina","2014",8
"South Dakota","2014",3
"Tennessee","2014",16
"Texas","2014",127
"Utah","2014",19
"Vermont","2014",9
"Virginia","2014",71
"Washington","2014",122
"West Virginia","2014",3
"Wisconsin","2014",27
"Wyoming","2014",5
"Alabama","2013",8
"Alaska","2013",11
"Arizona","2013",68
"Arkansas","2013",4
"California","2013",20690
"Colorado","2013",95
"Connecticut","2013",32
"Delaware","2013",6
"District of Columbia","2013",21
"Florida","2013",60
"Georgia","2013",25
"Hawaii","2013",28
"Idaho","2013",17
"Illinois","2013",114
"Indiana","2013",22
"Iowa","2013",9
"Kansas","2013",18
"Kentucky","2013",17
"Louisiana","2013",4
"Maine","2013",10
"Maryland","2013",55
"Massachusetts","2013",93
"Michigan","2013",40
"Minnesota","2013",49
"Mississippi","2013",4
"Missouri","2013",26
"Montana","2013",10
"Nebraska","2013",12
"Nevada","2013",47
"New Hampshire","2013",14
"New Jersey","2013",91
"New Mexico","2013",38
"New York","2013",166
"North Carolina","2013",36
"North Dakota","2013",2
"Ohio","2013",42
"Oklahoma","2013",12
"Oregon","2013",64
"Pennsylvania","2013",78
"Rhode Island","2013",8
"South Carolina","2013",11
"South Dakota","2013",4
"Tennessee","2013",20
"Texas","2013",137
"Utah","2013",24
"Vermont","2013",12
"Virginia","2013",70
"Washington","2013",128
"West Virginia","2013",4
"Wisconsin","2013",24
"Wyoming","2013",5
"Alabama","2012",7
"Alaska","2012",13
"Arizona","2012",68
"Arkansas","2012",5
"California","2012",20921
"Colorado","2012",84
"Connecticut","2012",33
"Delaware","2012",3
"District of Columbia","2012",17
"Florida","2012",50
"Georgia","2012",26
"Hawaii","2012",28
"Idaho","2012",21
"Illinois","2012",113
"Indiana","2012",25
"Iowa","2012",11
"Kansas","2012",17
"Kentucky","2012",19
"Louisiana","2012",6
"Maine","2012",12
"Maryland","2012",56
"Massachusetts","2012",88
"Michigan","2012",40
"Minnesota","2012",55
"Mississippi","2012",5
"Missouri","2012",24
"Montana","2012",13
"Nebraska","2012",14
"Nevada","2012",45
"New Hampshire","2012",11
"New Jersey","2012",89
"New Mexico","2012",38
"New York","2012",159
"North Carolina","2012",34
"North Dakota","2012",3
"Ohio","2012",42
"Oklahoma","2012",13
"Oregon","2012",57
"Pennsylvania","2012",71
"Rhode Island","2012",9
"South Carolina","2012",8
"South Dakota","2012",3
"Tennessee","2012",19
"Texas","2012",120
"Utah","2012",25
"Vermont","2012",11
"Virginia","2012",56
"Washington","2012",112
"West Virginia","2012",3
"Wisconsin","2012",24
"Wyoming","2012",2
"Alabama","2011",6
"Alaska","2011",16
"Arizona","2011",61
"Arkansas","2011",5
"California","2011",21618
"Colorado","2011",81
"Connecticut","2011",32
"Delaware","2011",3
"District of Columbia","2011",18
"Florida","2011",47
"Georgia","2011",22
"Hawaii","2011",31
"Idaho","2011",23
"Illinois","2011",108
"Indiana","2011",19
"Iowa","2011",11
"Kansas","2011",16
"Kentucky","2011",14
"Louisiana","2011",9
"Maine","2011",12
"Maryland","2011",50
"Massachusetts","2011",93
"Michigan","2011",39
"Minnesota","2011",47
"Mississippi","2011",3
"Missouri","2011",22
"Montana","2011",13
"Nebraska","2011",11
"Nevada","2011",46
"New Hampshire","2011",13
"New Jersey","2011",78
"New Mexico","2011",46
"New York","2011",127
"North Carolina","2011",34
"North Dakota","2011",3
"Ohio","2011",51
"Oklahoma","2011",13
"Oregon","2011",57
"Pennsylvania","2011",74
"Rhode Island","2011",10
"South Carolina","2011",12
"South Dakota","2011",3
"Tennessee","2011",17
"Texas","2011",106
"Utah","2011",31
"Vermont","2011",12
"Virginia","2011",59
"Washington","2011",108
"West Virginia","2011",4
"Wisconsin","2011",21
"Wyoming","2011",3
"Alabama","2010",7
"Alaska","2010",13
"Arizona","2010",64
"Arkansas","2010",5
"California","2010",22349
"Colorado","2010",91
"Connecticut","2010",29
"Delaware","2010",3
"District of Columbia","2010",11
"Florida","2010",60
"Georgia","2010",28
"Hawaii","2010",36
"Idaho","2010",25
"Illinois","2010",106
"Indiana","2010",17
"Iowa","2010",13
"Kansas","2010",16
"Kentucky","2010",13
"Louisiana","2010",11
"Maine","2010",11
"Maryland","2010",49
"Massachusetts","2010",85
"Michigan","2010",44
"Minnesota","2010",53
"Mississippi","2010",4
"Missouri","2010",14
"Montana","2010",16
"Nebraska","2010",8
"Nevada","2010",50
"New Hampshire","2010",12
"New Jersey","2010",66
"New Mexico","2010",42
"New York","2010",131
"North Carolina","2010",37
"North Dakota","2010",4
"Ohio","2010",47
"Oklahoma","2010",13
"Oregon","2010",57
"Pennsylvania","2010",70
"Rhode Island","2010",9
"South Carolina","2010",13
"South Dakota","2010",4
"Tennessee","2010",15
"Texas","2010",117
"Utah","2010",37
"Vermont","2010",8
"Virginia","2010",64
"Washington","2010",117
"West Virginia","2010",5
"Wisconsin","2010",25
"Wyoming","2010",7
"Alabama","2009",7
"Alaska","2009",10
"Arizona","2009",77
"Arkansas","2009",4
"California","2009",21550
"Colorado","2009",96
"Connecticut","2009",29
"Delaware","2009",3
"District of Columbia","2009",9
"Florida","2009",66
"Georgia","2009",28
"Hawaii","2009",32
"Idaho","2009",29
"Illinois","2009",107
"Indiana","2009",18
"Iowa","2009",16
"Kansas","2009",19
"Kentucky","2009",17
"Louisiana","2009",15
"Maine","2009",14
"Maryland","2009",49
"Massachusetts","2009",90
"Michigan","2009",31
"Minnesota","2009",52
"Mississippi","2009",3
"Missouri","2009",16
"Montana","2009",14
"Nebraska","2009",6
"Nevada","2009",41
"New Hampshire","2009",15
"New Jersey","2009",62
"New Mexico","2009",53
"New York","2009",131
"North Carolina","2009",40
"North Dakota","2009",4
"Ohio","2009",45
"Oklahoma","2009",9
"Oregon","2009",56
"Pennsylvania","2009",68
"Rhode Island","2009",10
"South Carolina","2009",13
"South Dakota","2009",3
"Tennessee","2009",14
"Texas","2009",115
"Utah","2009",46
"Vermont","2009",7
"Virginia","2009",63
"Washington","2009",119
"West Virginia","2009",4
"Wisconsin","2009",26
"Wyoming","2009",6
"Alabama","2008",9
"Alaska","2008",12
"Arizona","2008",89
"Arkansas","2008",6
"California","2008",21328
"Colorado","2008",108
"Connecticut","2008",36
"Delaware","2008",2
"District of Columbia","2008",10
"Florida","2008",64
"Georgia","2008",33
"Hawaii","2008",41
"Idaho","2008",30
"Illinois","2008",123
"Indiana","2008",17
"Iowa","2008",18
"Kansas","2008",20
"Kentucky","2008",14
"Louisiana","2008",18
"Maine","2008",15
"Maryland","2008",48
"Massachusetts","2008",85
"Michigan","2008",39
"Minnesota","2008",45
"Mississippi","2008",4
"Missouri","2008",20
"Montana","2008",15
"Nebraska","2008",4
"Nevada","2008",39
"New Hampshire","2008",17
"New Jersey","2008",73
"New Mexico","2008",58
"New York","2008",151
"North Carolina","2008",43
"North Dakota","2008",1
"Ohio","2008",52
"Oklahoma","2008",8
"Oregon","2008",87
"Pennsylvania","2008",73
"Rhode Island","2008",12
"South Carolina","2008",11
"South Dakota","2008",3
"Tennessee","2008",14
"Texas","2008",110
"Utah","2008",42
"Vermont","2008",9
"Virginia","2008",56
"Washington","2008",113
"West Virginia","2008",4
"Wisconsin","2008",17
"Wyoming","2008",4
"Alabama","2007",8
"Alaska","2007",12
"Arizona","2007",91
"Arkansas","2007",5
"California","2007",21158
"Colorado","2007",98
"Connecticut","2007",34
"Delaware","2007",1
"District of Columbia","2007",8
"Florida","2007",63
"Georgia","2007",31
"Hawaii","2007",55
"Idaho","2007",24
"Illinois","2007",111
"Indiana","2007",13
"Iowa","2007",20
"Kansas","2007",19
"Kentucky","2007",12
"Louisiana","2007",13
"Maine","2007",14
"Maryland","2007",40
"Massachusetts","2007",79
"Michigan","2007",44
"Minnesota","2007",38
"Mississippi","2007",4
"Missouri","2007",22
"Montana","2007",14
"Nebraska","2007",7
"Nevada","2007",42
"New Hampshire","2007",14
"New Jersey","2007",58
"New Mexico","2007",55
"New York","2007",139
"North Carolina","2007",39
"North Dakota","2007",2
"Ohio","2007",47
"Oklahoma","2007",7
"Oregon","2007",90
"Pennsylvania","2007",60
"Rhode Island","2007",11
"South Carolina","2007",9
"South Dakota","2007",4
"Tennessee","2007",11
"Texas","2007",112
"Utah","2007",44
"Vermont","2007",6
"Virginia","2007",52
"Washington","2007",119
"West Virginia","2007",2
"Wisconsin","2007",21
"Wyoming","2007",3
"Alabama","2006",9
"Alaska","2006",14
"Arizona","2006",103
"Arkansas","2006",6
"California","2006",20953
"Colorado","2006",114
"Connecticut","2006",35
"Delaware","2006",4
"District of Columbia","2006",8
"Florida","2006",63
"Georgia","2006",27
"Hawaii","2006",62
"Idaho","2006",24
"Illinois","2006",119
"Indiana","2006",17
"Iowa","2006",18
"Kansas","2006",17
"Kentucky","2006",12
"Louisiana","2006",15
"Maine","2006",12
"Maryland","2006",42
"Massachusetts","2006",80
"Michigan","2006",46
"Minnesota","2006",39
"Mississippi","2006",5
"Missouri","2006",21
"Montana","2006",12
"Nebraska","2006",8
"Nevada","2006",34
"New Hampshire","2006",13
"New Jersey","2006",78
"New Mexico","2006",50
"New York","2006",113
"North Carolina","2006",29
"North Dakota","2006",5
"Ohio","2006",51
"Oklahoma","2006",11
"Oregon","2006",102
"Pennsylvania","2006",77
"Rhode Island","2006",10
"South Carolina","2006",7
"South Dakota","2006",5
"Tennessee","2006",14
"Texas","2006",122
"Utah","2006",40
"Vermont","2006",8
"Virginia","2006",47
"Washington","2006",126
"West Virginia","2006",5
"Wisconsin","2006",18
"Wyoming","2006",3
"Alabama","2005",8
"Alaska","2005",11
"Arizona","2005",98
"Arkansas","2005",7
"California","2005",20945
"Colorado","2005",110
"Connecticut","2005",36
"Delaware","2005",4
"District of Columbia","2005",8
"Florida","2005",56
"Georgia","2005",24
"Hawaii","2005",68
"Idaho","2005",20
"Illinois","2005",124
"Indiana","2005",15
"Iowa","2005",16
"Kansas","2005",19
"Kentucky","2005",13
"Louisiana","2005",18
"Maine","2005",12
"Maryland","2005",41
"Massachusetts","2005",75
"Michigan","2005",48
"Minnesota","2005",40
"Mississippi","2005",4
"Missouri","2005",25
"Montana","2005",11
"Nebraska","2005",10
"Nevada","2005",47
"New Hampshire","2005",14
"New Jersey","2005",67
"New Mexico","2005",56
"New York","2005",105
"North Carolina","2005",29
"North Dakota","2005",5
"Ohio","2005",48
"Oklahoma","2005",12
"Oregon","2005",115
"Pennsylvania","2005",78
"Rhode Island","2005",6
"South Carolina","2005",9
"South Dakota","2005",6
"Tennessee","2005",11
"Texas","2005",119
"Utah","2005",35
"Vermont","2005",7
"Virginia","2005",41
"Washington","2005",136
"West Virginia","2005",7
"Wisconsin","2005",21
"Wyoming","2005",6
"Alabama","2004",10
"Alaska","2004",11
"Arizona","2004",97
"Arkansas","2004",7
"California","2004",20766
"Colorado","2004",113
"Connecticut","2004",35
"Delaware","2004",6
"District of Columbia","2004",7
"Florida","2004",60
"Georgia","2004",33
"Hawaii","2004",67
"Idaho","2004",21
"Illinois","2004",133
"Indiana","2004",16
"Iowa","2004",16
"Kansas","2004",20
"Kentucky","2004",10
"Louisiana","2004",19
"Maine","2004",10
"Maryland","2004",43
"Massachusetts","2004",79
"Michigan","2004",45
"Minnesota","2004",42
"Mississippi","2004",5
"Missouri","2004",24
"Montana","2004",8
"Nebraska","2004",12
"Nevada","2004",59
"New Hampshire","2004",9
"New Jersey","2004",78
"New Mexico","2004",55
"New York","2004",126
"North Carolina","2004",24
"North Dakota","2004",4
"Ohio","2004",50
"Oklahoma","2004",10
"Oregon","2004",117
"Pennsylvania","2004",82
"Rhode Island","2004",9
"South Carolina","2004",8
"South Dakota","2004",4
"Tennessee","2004",15
"Texas","2004",134
"Utah","2004",33
"Vermont","2004",7
"Virginia","2004",47
"Washington","2004",151
"West Virginia","2004",5
"Wisconsin","2004",21
"Wyoming","2004",6
"Alabama","2003",10
"Alaska","2003",10
"Arizona","2003",87
"Arkansas","2003",6
"California","2003",20809
"Colorado","2003",132
"Connecticut","2003",34
"Delaware","2003",6
"District of Columbia","2003",7
"Florida","2003",57
"Georgia","2003",26
"Hawaii","2003",69
"Idaho","2003",24
"Illinois","2003",122
"Indiana","2003",15
"Iowa","2003",16
"Kansas","2003",16
"Kentucky","2003",10
"Louisiana","2003",17
"Maine","2003",10
"Maryland","2003",42
"Massachusetts","2003",79
"Michigan","2003",47
"Minnesota","2003",44
"Mississippi","2003",5
"Missouri","2003",27
"Montana","2003",9
"Nebraska","2003",11
"Nevada","2003",59
"New Hampshire","2003",9
"New Jersey","2003",68
"New Mexico","2003",53
"New York","2003",135
"North Carolina","2003",25
"North Dakota","2003",4
"Ohio","2003",52
"Oklahoma","2003",12
"Oregon","2003",113
"Pennsylvania","2003",91
"Rhode Island","2003",11
"South Carolina","2003",12
"South Dakota","2003",4
"Tennessee","2003",17
"Texas","2003",122
"Utah","2003",22
"Vermont","2003",7
"Virginia","2003",51
"Washington","2003",135
"West Virginia","2003",4
"Wisconsin","2003",27
"Wyoming","2003",8
"Alabama","2002",6
"Alaska","2002",10
"Arizona","2002",102
"Arkansas","2002",5
"California","2002",20403
"Colorado","2002",131
"Connecticut","2002",24
"Delaware","2002",7
"District of Columbia","2002",24
"Florida","2002",55
"Georgia","2002",29
"Hawaii","2002",62
"Idaho","2002",27
"Illinois","2002",126
"Indiana","2002",22
"Iowa","2002",12
"Kansas","2002",14
"Kentucky","2002",9
"Louisiana","2002",14
"Maine","2002",9
"Maryland","2002",38
"Massachusetts","2002",97
"Michigan","2002",42
"Minnesota","2002",46
"Mississippi","2002",4
"Missouri","2002",24
"Montana","2002",7
"Nebraska","2002",7
"Nevada","2002",58
"New Hampshire","2002",10
"New Jersey","2002",68
"New Mexico","2002",62
"New York","2002",124
"North Carolina","2002",25
"North Dakota","2002",2
"Ohio","2002",50
"Oklahoma","2002",12
"Oregon","2002",107
"Pennsylvania","2002",79
"Rhode Island","2002",9
"South Carolina","2002",10
"South Dakota","2002",3
"Tennessee","2002",17
"Texas","2002",118
"Utah","2002",23
"Vermont","2002",3
"Virginia","2002",49
"Washington","2002",137
"West Virginia","2002",4
"Wisconsin","2002",27
"Wyoming","2002",9
"Alabama","2001",6
"Alaska","2001",8
"Arizona","2001",91
"Arkansas","2001",5
"California","2001",20010
"Colorado","2001",107
"Connecticut","2001",25
"Delaware","2001",6
"District of Columbia","2001",9
"Florida","2001",50
"Georgia","2001",25
"Hawaii","2001",61
"Idaho","2001",27
"Illinois","2001",108
"Indiana","2001",19
"Iowa","2001",11
"Kansas","2001",13
"Kentucky","2001",8
"Louisiana","2001",16
"Maine","2001",7
"Maryland","2001",47
"Massachusetts","2001",86
"Michigan","2001",30
"Minnesota","2001",41
"Mississippi","2001",4
"Missouri","2001",28
"Montana","2001",9
"Nebraska","2001",5
"Nevada","2001",55
"New Hampshire","2001",9
"New Jersey","2001",60
"New Mexico","2001",50
"New York","2001",102
"North Carolina","2001",22
"North Dakota","2001",2
"Ohio","2001",48
"Oklahoma","2001",12
"Oregon","2001",108
"Pennsylvania","2001",70
"Rhode Island","2001",9
"South Carolina","2001",9
"South Dakota","2001",3
"Tennessee","2001",12
"Texas","2001",88
"Utah","2001",28
"Vermont","2001",5
"Virginia","2001",48
"Washington","2001",128
"West Virginia","2001",3
"Wisconsin","2001",29
"Wyoming","2001",8
